"","B_COUNTRY_ALPHA","Q28","Q29","Q30","Q31","Q32","Q260","Q262","cultural_region"
"1","AND",2,2,2,2,1,2,60,"Catholic_Europe"
"2","AND",2,2,2,2,1,1,47,"Catholic_Europe"
"3","AND",2,2,2,2,1,2,62,"Catholic_Europe"
"4","AND",2,2,2,2,2,1,49,"Catholic_Europe"
"5","AND",1,1,2,2,1,2,51,"Catholic_Europe"
"6","AND",1,2,2,1,2,2,33,"Catholic_Europe"
"7","AND",2,2,2,2,1,1,55,"Catholic_Europe"
"8","AND",2,2,2,2,1,2,40,"Catholic_Europe"
"9","AND",1,2,2,2,1,2,38,"Catholic_Europe"
"10","AND",1,2,2,1,2,1,54,"Catholic_Europe"
"11","AND",1,2,2,2,2,1,39,"Catholic_Europe"
"12","AND",1,2,2,2,2,2,44,"Catholic_Europe"
"13","AND",2,2,2,2,2,2,53,"Catholic_Europe"
"14","AND",1,1,2,2,1,2,43,"Catholic_Europe"
"15","AND",1,2,2,2,2,1,33,"Catholic_Europe"
"16","AND",2,2,2,2,1,1,21,"Catholic_Europe"
"17","AND",2,2,2,2,1,2,61,"Catholic_Europe"
"18","AND",2,2,2,2,2,2,47,"Catholic_Europe"
"19","AND",1,2,2,2,1,2,51,"Catholic_Europe"
"20","AND",1,2,2,2,2,2,43,"Catholic_Europe"
"21","AND",2,2,2,2,2,2,38,"Catholic_Europe"
"22","AND",1,2,2,2,1,2,30,"Catholic_Europe"
"23","AND",2,2,2,2,1,1,18,"Catholic_Europe"
"24","AND",2,2,2,2,2,2,18,"Catholic_Europe"
"25","AND",2,2,2,2,1,1,39,"Catholic_Europe"
"26","AND",1,2,2,2,1,2,63,"Catholic_Europe"
"27","AND",1,2,2,2,1,2,66,"Catholic_Europe"
"28","AND",1,2,2,2,1,2,48,"Catholic_Europe"
"29","AND",1,2,2,2,1,1,60,"Catholic_Europe"
"30","AND",1,2,2,2,1,2,60,"Catholic_Europe"
"31","AND",1,2,2,2,2,1,70,"Catholic_Europe"
"32","AND",1,2,2,2,1,1,66,"Catholic_Europe"
"33","AND",1,2,2,2,2,2,41,"Catholic_Europe"
"34","AND",1,2,2,2,2,1,43,"Catholic_Europe"
"35","AND",2,2,2,2,2,1,58,"Catholic_Europe"
"36","AND",2,2,2,2,2,1,51,"Catholic_Europe"
"37","AND",2,2,2,2,1,2,71,"Catholic_Europe"
"38","AND",2,2,2,2,1,1,51,"Catholic_Europe"
"39","AND",2,2,2,2,1,2,60,"Catholic_Europe"
"40","AND",1,2,2,2,2,2,54,"Catholic_Europe"
"41","AND",2,2,2,2,1,2,55,"Catholic_Europe"
"42","AND",2,2,2,2,2,1,53,"Catholic_Europe"
"43","AND",2,2,2,2,1,1,47,"Catholic_Europe"
"44","AND",2,2,2,2,2,1,43,"Catholic_Europe"
